question,answer
"챗봇은 무엇을 도와주나요?","유림온누리약국 건강관리 상담 챗봇은 생활습관과 건강관리 관심사를 확인하고 건강관리 루틴과 베이직팩 구성을 안내합니다. 질병 진단이나 치료, 의약품 처방은 하지 않습니다."
"톡스토어 주소가 무엇인가요?","톡스토어 주소는 https://store.kakao.com/dypharm 입니다."
"전문가 상담은 어디서 하나요?","카카오채널 상담 주소는 https://pf.kakao.com/_HJnvn 입니다."
"베이직팩은 무엇인가요?","약사가 조제한 하루 한 팩 베이직팩 30일분은 비타민B, 비타민C, 초임계 오메가3를 하루 한 팩으로 간편하게 챙길 수 있는 기본 영양팩입니다."
"베이직팩 가격은 얼마인가요?","베이직팩 30일분 판매가는 29,900원입니다. 운영 상황에 따라 쿠폰이나 재구매 혜택은 달라질 수 있습니다."
"장케어팩 가격은 얼마인가요?","베이직 장케어팩 30일분 판매가는 36,900원입니다."
"아이케어팩 가격은 얼마인가요?","베이직 아이케어팩 30일분 판매가는 36,900원입니다."
"본케어팩 가격은 얼마인가요?","베이직 본케어팩 30일분 판매가는 39,900원입니다."
"릴렉스팩 가격은 얼마인가요?","베이직 릴렉스팩 30일분 판매가는 39,900원입니다."
"어떤 제품부터 시작하면 좋나요?","특별한 건강 고민이 없다면 비타민B, 비타민C, 초임계 오메가3로 구성된 베이직팩부터 시작하는 것을 권합니다. 약 복용, 질환 관리, 임신/수유, 알레르기가 있다면 먼저 약사 상담을 권합니다."
"장 건강에는 무엇을 추천하나요?","장 건강을 함께 챙기고 싶다면 베이직 장케어팩을 추천합니다. 다만 질환이나 약 복용 중이면 약사 상담을 먼저 권합니다."
"눈 건강에는 무엇을 추천하나요?","스마트폰과 모니터 사용이 많고 눈 건강을 함께 챙기고 싶다면 베이직 아이케어팩을 추천합니다."
"뼈 건강에는 무엇을 추천하나요?","뼈 건강 루틴을 함께 챙기고 싶다면 베이직 본케어팩을 추천합니다."
"피로와 휴식에는 무엇을 추천하나요?","바쁜 하루의 피로와 저녁 휴식 루틴을 챙기고 싶다면 베이직 릴렉스팩을 추천합니다."
"약 먹고 있는데 먹어도 되나요?","복용 중인 약이 있다면 챗봇이 병용 가능 여부를 판단하지 않습니다. 약사 상담을 먼저 권합니다."
"임신 중인데 먹어도 되나요?","임신 또는 수유 중에는 개인 상태에 따라 주의가 필요하므로 제품 추천보다 약사 또는 의료진 상담을 먼저 권합니다."
"알레르기가 있으면 어떻게 하나요?","특정 성분 알레르기가 있다면 구매 전 전성분과 원료를 확인하고 약사 상담을 먼저 권합니다."
"이상반응이 있으면 어떻게 하나요?","섭취를 중단하고 전문가와 상담해 주세요. 심한 알레르기 반응, 호흡곤란, 얼굴/입술 붓기 등이 있으면 즉시 119 또는 가까운 의료기관으로 문의해 주세요."
"가슴 통증이 있어요","흉통은 챗봇 상담보다 의료기관 확인이 먼저 필요할 수 있습니다. 심한 통증, 호흡곤란, 의식저하가 있으면 즉시 119 또는 가까운 의료기관으로 문의해 주세요."
"해당되는 항목이 없어요","이 내용은 챗봇이 정확히 판단하기 어려워 약사님과 직접 상담을 권합니다. 카카오채널 상담 주소는 https://pf.kakao.com/_HJnvn 입니다."
"직접 상담하고 싶어요","약사님 직접 상담으로 연결할 수 있습니다. 카카오채널 상담 주소는 https://pf.kakao.com/_HJnvn 입니다."
"잘 모르겠어요","어떤 항목에 해당하는지 애매하다면 약사님 직접 상담을 권합니다. 카카오채널 상담 주소는 https://pf.kakao.com/_HJnvn 입니다."
"기타 문의가 있어요","챗봇 지식에 해당하지 않는 문의는 약사님 직접 상담을 권합니다. 카카오채널 상담 주소는 https://pf.kakao.com/_HJnvn 입니다."
